	tokens1Source	tokens1AlignRaw	tokens2Source	tokens2AlignRaw
453	nos	nos	Mercure	Mercure
454	Écrivains	Écrivains	,	,
455	d	d	Diane	Diane
456	’	’	:	:
457	aujourd	aujourd	vous	vous
458	’	’	autres	autres
459	hui	hui	Dieux	Dieux
460	ne	ne	qui	qui
461	sont	sont	savez	savez
462	lardées	lardées	si	si
463	d	d	bien	bien
464	’	’	courir	courir
465	autre	autre	,	,
466	chose	chose	vous	vous
467	que	que	prendrez	prendrez
468	des	des	la	la
469	faits	faits	peine	peine
470	d	d	de	de
471	’	’	monter	monter
472	armes	armes	tous	tous
473	de	de	sept	sept
474	ces	ces	à	à
475	deux	deux	califourchon	califourchon
476	gladiateurs	gladiateurs	sur	sur
477	,	,	une	une
478	à	à	Étoile	Étoile
479	cause	cause	.	.
480	que	que	Là	Là
481	,	,	,	,
482	prenant	prenant	vous	vous
483	à	à	courrez	courrez
484	bon	bon	de	de
485	augure	augure	si	si
486	d	d	bonne	bonne
487	’	’	sorte	sorte
488	être	être	,	,
489	né	né	que	que
490	dans	dans	vous	vous
491	la	la	n	n
492	guerre	guerre	’	’
493	,	,	aurez	aurez
494	je	je	pas	pas
495	leur	leur	le	le
496	commandai	commandai	loisir	loisir
497	,	,	d	d
498	en	en	’	’
499	mémoire	mémoire	ouvrir	ouvrir
500	de	de	les	les
501	ma	ma	yeux	yeux
502	naissance	naissance	.	.
503	,	,	»	»
504	de	de	Granger	Granger
505	se	se	Et	Et
506	battre	battre	des	des
507	jusques	jusques	autres	autres
508	à	à	Dieux	Dieux
509	la	la	,	,
510	fin	fin	qu	qu
511	du	du	’	’
512	monde	monde	en	en
513	,	,	fîtes	fîtes
514	sans	sans	-	-
515	se	se	vous	vous
516	reposer	reposer	?	?
517	.	.	Châteaufort	Châteaufort
518	Donc	Donc	Midi	Midi
519	afin	afin	sonna	sonna
520	de	de	,	,
521	ne	ne	la	la
522	pas	pas	faim	faim
523	demeurer	demeurer	me	me
524	ingrat	ingrat	prit	prit
525	,	,	,	,
526	je	je	j	j
527	voulus	voulus	’	’
528	dépêtrer	dépêtrer	en	en
529	la	la	fis	fis
530	Nature	Nature	un	un
531	de	de	saupiquet	saupiquet
532	ces	ces	pour	pour
533	Dieutelets	Dieutelets	mon	mon
534	,	,	dîner	dîner
535	dont	dont	.	.
536	l	l	Vous	Vous
537	’	’	voyez	voyez
538	insolence	insolence	bien	bien
539	la	la	que	que
540	mettait	mettait	l	l
541	en	en	’	’
542	cervelle	cervelle	histoire	histoire
543	.	.	de	de
544	Je	Je	Phénix	Phénix
545	les	les	n	n
546	mandai	mandai	’	’
547	,	,	est	est
548	ils	ils	pas	pas
549	obéirent	obéirent	un	un
550	;	;	conte	conte
551	enfin	enfin	.	.
552	je	je	Granger	Granger
553	prononçai	prononçai	Il	Il
554	cet	cet	est	est
555	immuable	immuable	vrai	vrai
556	arrêt	arrêt	que	que
557	:	:	vous	vous
558	«	«	portez	portez
559	Gaillarde	Gaillarde	la	la
560	troupe	troupe	mine	mine
561	,	,	d	d
562	quand	quand	’	’
563	je	je	un	un
564	vous	vous	oiseau	oiseau
565	ai	ai	bien	bien
566	convoqués	convoqués	fabuleux	fabuleux
567	,	,	,	,
568	la	la	Témoin	Témoin
569	plus	plus	le	le
570	miséricordieuse	miséricordieuse	poil	poil
571	intention	intention	indicatif	indicatif
572	que	que	Qui	Qui
573	j	j	m	m
574	’	’	’	’
575	eusse	eusse	en	en
576	pour	pour	est	est
577	vous	vous	fort	fort
578	était	était	persuasif	persuasif
579	de	de	.	.
580	vous	vous	Pourtant	Pourtant
581	annihiler	annihiler	,	,
582	;	;	malgré	malgré
583	mais	mais	tout	tout
584	craignant	craignant	votre	votre
585	que	que	actif	actif
586	votre	votre	,	,
587	impuissance	impuissance	Je	Je
588	ne	ne	vous	vous
589	reprochât	reprochât	fais	fais
590	à	à	un	un
591	mes	mes	impératif	impératif
592	mains	mains	De	De
593	l	l	n	n
594	’	’	’	’
595	indignité	indignité	avoir	avoir
596	de	de	jamais	jamais
597	cette	cette	d	d
598	victoire	victoire	’	’
599	,	,	optatif	optatif
600	voici	voici	Pour	Pour
601	ce	ce	aucun	aucun
602	que	que	genre	genre
603	j	j	subjonctif	subjonctif
604	’	’	,	,
605	ordonne	ordonne	De	De
606	de	de	«	«
607	votre	votre	nunc	nunc
608	sort	sort	»	»
609	.	.	,	,
610	Vous	Vous	jusques	jusques
611	autres	autres	à	à
612	Dieux	Dieux	l	l
613	qui	qui	’	’
614	savez	savez	infinitif	infinitif
615	si	si	;	;
616	bien	bien	Ou	Ou
617	courir	courir	je	je
618	comme	comme	fais	fais
619	Saturne	Saturne	sur	sur
620	,	,	vous	vous
621	père	père	l	l
622	du	du	’	’
623	temps	temps	adjectif	adjectif
624	,	,	Du	Du
625	qui	qui	plus	plus
626	mangeant	mangeant	effrayant	effrayant
627	et	et	positif	positif
628	dévorant	dévorant	Qui	Qui
629	tout	tout	jamais	jamais
630	court	court	eut	eut
631	à	à	comparatif	comparatif
632	l	l	:	:
633	’	’	Et	Et
634	hôpital	hôpital	si	si
635	;	;	ce	ce
636	Jupiter	Jupiter	rude	rude
637	qui	qui	partitif	partitif
638	,	,	,	,
639	comme	comme	Dont	Dont
640	ayant	ayant	je	je
641	la	la	ferai	ferai
642	tête	tête	distributif	distributif
643	fêlée	fêlée	,	,
644	depuis	depuis	Et	Et
645	le	le	vous	vous
646	coup	coup	le	le
647	de	de	sujet	sujet
648	hache	hache	collectif	collectif
649	qu	qu	,	,
650	’	’	N	N
651	il	il	’	’
652	reçut	reçut	est	est
653	de	de	le	le
654	Vulcain	Vulcain	plus	plus
655	,	,	beau	beau
656	doit	doit	superlatif	superlatif
657	courir	courir	Et	Et
658	les	les	le	le
659	rues	rues	coup	coup
660	;	;	le	le
661	Mars	Mars	plus	plus
662	qui	qui	sensitif	sensitif
663	comme	comme	Dont	Dont
664	soldat	soldat	homme	homme
665	court	court	soit	soit
666	aux	aux	mémoratif	mémoratif
667	armes	armes	,	,
668	;	;	Je	Je
669	Phébus	Phébus	jure	jure
670	qui	qui	par	par
671	comme	comme	mon	mon
672	Dieu	Dieu	jour	jour
673	des	des	natif	natif
674	Vers	Vers	Que	Que
675	court	court	je	je
676	la	la	veux	veux
677	bouche	bouche	,	,
678	des	des	pour	pour
679	poètes	poètes	ce	ce
680	;	;	seul	seul
681	Vénus	Vénus	motif	motif
682	qui	qui	,	,
683	comme	comme	Qu	Qu
684	putain	putain	’	’
685	court	court	un	un
686	l	l	sale	sale
687	’	’	et	et
688	aiguillette	aiguillette	sanglant	sanglant
689	;	;	vomitif	vomitif
690	Mercure	Mercure	,	,
691	qui	qui	Surmontant	Surmontant
692	comme	comme	tout	tout
693	Messager	Messager	confortatif	confortatif
694	court	court	,	,
695	la	la	Tout	Tout
696	poste	poste	lénitif	lénitif
697	;	;	,	,
698	et	et	tout	tout
699	Diane	Diane	restrictif	restrictif
700	qui	qui	,	,
701	comme	comme	Et	Et
702	Chasseresse	Chasseresse	tout	tout
703	court	court	bon	bon
704	les	les	corroboratif	corroboratif
705	Bois	Bois	,	,
706	.	.	Soit	Soit
707	Vous	Vous	le	le
708	prendrez	prendrez	châtiment	châtiment
709	la	la	primitif	primitif
710	peine	peine	,	,
711	,	,	Et	Et
712	s	s	l	l
713	’	’	’	’
714	il	il	effroyable	effroyable
715	vous	vous	exprimitif	exprimitif
716	plaît	plaît	D	D
717	,	,	’	’
718	de	de	un	un
719	monter	monter	discours	discours
720	tous	tous	qui	qui
721	sept	sept	serait	serait
722	à	à	fautif	fautif
723	califourchon	califourchon	Car	Car
724	sur	sur	je	je
725	une	une	n	n
726	Étoile	Étoile	’	’
727	.	.	ai	ai
728	Là	Là	le	le
729	vous	vous	bras	bras
730	courrez	courrez	si	si
731	de	de	chétif	chétif
732	si	si	,	,
733	bonne	bonne	Ni	Ni
734	sorte	sorte	,	,
735	,	,	vous	vous
736	que	que	,	,
737	vous	vous	le	le
738	n	n	talon	talon
739	’	’	fuitif	fuitif
740	aurez	aurez	,	,
741	pas	pas	Que	Que
742	le	le	vous	vous
743	loisir	loisir	ne	ne
744	d	d	fussiez	fussiez
745	’	’	portatif	portatif
746	ouvrir	ouvrir	,	,
747	les	les	D	D
748	yeux	yeux	’	’
749	.	.	un	un
750	»	»	coup	coup
751	Paquier	Paquier	bien	bien
752	En	En	significatif	significatif
753	effet	effet	!	!
754	,	,	Ô	Ô
755	les	les	visage	visage
756	Planètes	Planètes	!	!
757	sont	sont	ô	ô
758	justement	justement	portrait	portrait
759	ces	ces	naïf	naïf
760	sept	sept	!	!
761	-	-	Qui	Qui
762	là	là	n	n
763	.	.	’	’
764	Granger	Granger	êtes	êtes
765	Et	Et	homme	homme
766	des	des	qu	qu
767	autres	autres	’	’
768	Dieux	Dieux	abstractif	abstractif
769	qu	qu	;	;
770	’	’	Si	Si
771	en	en	pour	pour
772	fîtes	fîtes	soudre	soudre
773	-	-	ce	ce
774	vous	vous	logogrif	logogrif
775	?	?	,	,
776	Châteaufort	Châteaufort	Vous	Vous
777	Midi	Midi	avez	avez
778	sonna	sonna	l	l
779	,	,	’	’
780	la	la	esprit	esprit
781	faim	faim	trop	trop
782	me	me	tardif	tardif
783	prit	prit	,	,
784	,	,	À	À
785	j	j	ces	ces
786	’	’	mots	mots
787	en	en	soyez	soyez
788	fis	fis	attentif	attentif
789	un	un	:	:
790	saupiquet	saupiquet	Je	Je
791	pour	pour	fais	fais
792	mon	mon	vœu	vœu
793	dîner	dîner	de	de
794	.	.	me	me
795	Paquier	Paquier	faire	faire
796	«	«	juif	juif
797	Domine	Domine	,	,
798	»	»	Au	Au
799	,	,	lieu	lieu
800	ce	ce	d	d
801	fut	fut	’	’
802	assurément	assurément	eau	eau
803	en	en	,	,
804	ce	ce	de	de
805	temps	temps	boire	boire
806	-	-	du	du
807	là	là	suif	suif
808	que	que	,	,
809	les	les	D	D
810	Oracles	Oracles	’	’
811	cessèrent	cessèrent	être	être
812	.	.	mieux	mieux
813	Châteaufort	Châteaufort	damné	damné
814	Il	Il	que	que
815	est	est	Caïf	Caïf
816	vrai	vrai	,	,
817	;	;	D	D
818	et	et	’	’
819	dès	dès	aller	aller
820	lors	lors	à	à
821	ma	ma	pied	pied
822	complexion	complexion	voir	voir
823	prenant	prenant	le	le
824	part	part	chérif	chérif
825	à	à	,	,
826	ce	ce	De	De
827	salmigondis	salmigondis	me	me
828	de	de	rendre	rendre
829	Dieux	Dieux	à	à
830	,	,	Tunis	Tunis
831	mes	mes	captif	captif
832	actions	actions	,	,
833	ont	ont	D	D
834	été	été	’	’
835	toutes	toutes	être	être
836	extraordinaires	extraordinaires	berné	berné
837	.	.	comme	comme
838	Car	Car	escogrif	escogrif
839	si	si	,	,
840	j	j	D	D
841	’	’	’	’
842	engendre	engendre	être	être
843	,	,	plus	plus
844	c	c	maudit	maudit
845	’	’	qu	qu
846	est	est	’	’
847	en	en	un	un
848	Deucalion	Deucalion	tarif	tarif
849	;	;	,	,
850	si	si	De	De
851	je	je	devenir	devenir
852	regarde	regarde	ladre	ladre
853	,	,	et	et
854	c	c	poussif	poussif
855	’	’	,	,
856	est	est	Bref	Bref
857	en	en	,	,
858	Basilic	Basilic	par	par
859	;	;	les	les
860	si	si	mains	mains
861	je	je	d	d
862	pleure	pleure	’	’
863	,	,	un	un
864	c	c	sort	sort
865	’	’	hâtif	hâtif
866	est	est	,	,
867	en	en	Couronné	Couronné
868	Héraclite	Héraclite	de	de
869	;	;	cyprès	cyprès
870	si	si	et	et
871	je	je	d	d
872	ris	ris	’	’
873	,	,	if	if
874	c	c	,	,
875	’	’	Passer	Passer
876	est	est	,	,
877	en	en	dans	dans
878	Démocrite	Démocrite	le	le
879	;	;	mortel	mortel
880	si	si	esquif	esquif
881	j	j	,	,
882	’	’	Au	Au
883	écume	écume	pays	pays
884	,	,	où	où
885	c	c	l	l
886	’	’	’	’
887	est	est	on	on
888	en	en	est	est
889	Cerbère	Cerbère	oisif	oisif
890	;	;	,	,
891	si	si	Si	Si
892	je	je	jamais	jamais
893	dors	dors	je	je
894	,	,	deviens	deviens
895	c	c	rétif	rétif
896	’	’	À	À
897	est	est	l	l
898	en	en	’	’
899	Morphée	Morphée	agréable	agréable
900	;	;	exécutif	exécutif
901	si	si	Du	Du
902	je	je	vœu	vœu
903	veille	veille	dont	dont
904	,	,	je	je
905	c	c	suis	suis
906	’	’	l	l
907	est	est	’	’
908	en	en	inventif	inventif
909	Argus	Argus	,	,
910	;	;	Et	Et
911	si	si	duquel	duquel
912	je	je	le	le
913	marche	marche	préparatif	préparatif
914	,	,	Est	Est
915	c	c	,	,
916	’	’	beau	beau
917	est	est	sire	sire
918	en	en	,	,
919	Juif	Juif	un	un
920	-	-	bâton	bâton
921	errant	errant	massif	massif
922	;	;	,	,
923	si	si	Qui	Qui
924	je	je	sera	sera
925	cours	cours	le	le
926	,	,	dissolutif	dissolutif
927	c	c	De	De
928	’	’	votre	votre
929	est	est	vilain	vilain
930	en	en	substantif	substantif
931	Pacolet	Pacolet	;	;
932	;	;	Car	Car
933	si	si	c	c
934	je	je	’	’
935	vole	vole	est	est
936	,	,	mon	mon
937	c	c	vouloir	vouloir
938	’	’	décisif	décisif
939	est	est	,	,
940	en	en	Et	Et
941	Dédale	Dédale	mon	mon
942	;	;	testament	testament
943	si	si	mort	mort
944	je	je	ou	ou
945	m	m	vif	vif
946	’	’	.	.
947	arrête	arrête	Mais	Mais
948	,	,	vous	vous
949	c	c	parler	parler
950	’	’	ainsi	ainsi
951	est	est	,	,
952	en	en	c	c
953	Dieu	Dieu	’	’
954	Terme	Terme	est	est
955	;	;	vous	vous
956	si	si	donner	donner
957	j	j	à	à
958	’	’	soudre	soudre
959	ordonne	ordonne	les	les
960	,	,	emblèmes	emblèmes
961	c	c	d	d
962	’	’	’	’
963	est	est	un	un
964	en	en	sphinx	sphinx
965	Destin	Destin	.	.
966	.	.	Enfin	Enfin
967	Enfin	Enfin	,	,
968	vous	vous	je	je
969	voyez	voyez	connais	connais
970	celui	celui	que	que
971	qui	qui	si	si
972	fait	fait	vous	vous
973	que	que	avez	avez
974	l	l	quelque	quelque
975	’	’	teinture	teinture
976	Histoire	Histoire	de	de
977	du	du	lettres	lettres
978	Phénix	Phénix	,	,
979	n	n	ce	ce
980	’	’	n	n
981	est	est	’	’
982	pas	pas	est	est
983	un	un	pas	pas
984	conte	conte	de	de
985	.	.	celle	celle
986	Granger	Granger	des	des
987	Il	Il	Gobelins	Gobelins
988	est	est	;	;
989	vrai	vrai	car	car
990	qu	qu	,	,
991	’	’	par	par
992	à	à	Jupiter	Jupiter
993	l	l	Ammon	Ammon
994	’	’	,	,
995	âge	âge	vous	vous
996	où	où	êtes	êtes
997	vous	vous	un	un
998	êtes	êtes	ignorant	ignorant
999	,	,	.	.
1000	n	n	Châteaufort	Châteaufort
1001	’	’	De	De
1002	avoir	avoir	lettres	lettres
1003	point	point	!	!
1004	de	de	ah	ah
1005	barbe	barbe	!	!
1006	,	,	que	que
1007	vous	vous	me	me
1008	me	me	dites	dites
1009	portez	portez	-	-
