	tokens1Source	tokens1AlignRaw	tokens2Source	tokens2AlignRaw
455	d	d	avoir	avoir
456	’	’	jamais	jamais
457	aujourd	aujourd	pu	pu
458	’	’	regarder	regarder
459	hui	hui	de	de
460	ne	ne	femme	femme
461	sont	sont	sans	sans
462	lardées	lardées	la	la
463	d	d	blesser	blesser
464	’	’	.	.
465	autre	autre	Granger	Granger
466	chose	chose	Et	Et
467	que	que	cependant	cependant
468	des	des	,	,
469	faits	faits	l	l
470	d	d	’	’
471	’	’	oiseau	oiseau
472	armes	armes	ne	ne
473	de	de	saurait	saurait
474	ces	ces	être	être
475	deux	deux	pour	pour
476	gladiateurs	gladiateurs	vous	vous
477	,	,	.	.
478	à	à	La	La
479	cause	cause	première	première
480	que	que	objection	objection
481	,	,	que	que
482	prenant	prenant	je	je
483	à	à	fais	fais
484	bon	bon	,	,
485	augure	augure	est	est
486	d	d	que	que
487	’	’	vous	vous
488	être	être	êtes	êtes
489	né	né	Normand	Normand
490	dans	dans	,	,
491	la	la	Normandie	Normandie
492	guerre	guerre	,	,
493	,	,	«	«
494	je	je	quasi	quasi
495	leur	leur	»	»
496	commandai	commandai	venue	venue
497	,	,	du	du
498	en	en	Nord	Nord
499	mémoire	mémoire	pour	pour
500	de	de	mendier	mendier
501	ma	ma	.	.
502	naissance	naissance	De	De
503	,	,	votre	votre
504	de	de	nation	nation
505	se	se	les	les
506	battre	battre	serviteurs	serviteurs
507	jusques	jusques	sont	sont
508	à	à	traîtres	traîtres
509	la	la	,	,
510	fin	fin	les	les
511	du	du	égaux	égaux
512	monde	monde	insolents	insolents
513	,	,	et	et
514	sans	sans	les	les
515	se	se	maîtres	maîtres
516	reposer	reposer	insupportables	insupportables
517	.	.	.	.
518	Donc	Donc	Jadis	Jadis
519	afin	afin	le	le
520	de	de	blason	blason
521	ne	ne	de	de
522	pas	pas	cette	cette
523	demeurer	demeurer	province	province
524	ingrat	ingrat	était	était
525	,	,	trois	trois
526	je	je	faux	faux
527	voulus	voulus	pour	pour
528	dépêtrer	dépêtrer	montrer	montrer
529	la	la	les	les
530	Nature	Nature	trois	trois
531	de	de	espèces	espèces
532	ces	ces	de	de
533	Dieutelets	Dieutelets	faux	faux
534	,	,	qu	qu
535	dont	dont	’	’
536	l	l	engendre	engendre
537	’	’	ce	ce
538	insolence	insolence	climat	climat
539	la	la	«	«
540	mettait	mettait	scilicet	scilicet
541	en	en	»	»
542	cervelle	cervelle	.	.
543	.	.	Faux	Faux
544	Je	Je	sauniers	sauniers
545	les	les	,	,
546	mandai	mandai	faux	faux
547	,	,	témoins	témoins
548	ils	ils	,	,
549	obéirent	obéirent	faux	faux
550	;	;	monnayeurs	monnayeurs
551	enfin	enfin	.	.
552	je	je	Je	Je
553	prononçai	prononçai	ne	ne
554	cet	cet	veux	veux
555	immuable	immuable	point	point
556	arrêt	arrêt	de	de
557	:	:	faussaires	faussaires
558	«	«	en	en
559	Gaillarde	Gaillarde	ma	ma
560	troupe	troupe	maison	maison
561	,	,	.	.
562	quand	quand	La	La
563	je	je	seconde	seconde
564	vous	vous	qui	qui
565	ai	ai	m	m
566	convoqués	convoqués	’	’
567	,	,	est	est
568	la	la	une	une
569	plus	plus	raison	raison
570	miséricordieuse	miséricordieuse	invincible	invincible
571	intention	intention	,	,
572	que	que	c	c
573	j	j	’	’
574	’	’	est	est
575	eusse	eusse	que	que
576	pour	pour	votre	votre
577	vous	vous	bourse	bourse
578	était	était	est	est
579	de	de	malade	malade
580	vous	vous	d	d
581	annihiler	annihiler	’	’
582	;	;	un	un
583	mais	mais	flux	flux
584	craignant	craignant	de	de
585	que	que	ventre	ventre
586	votre	votre	dont	dont
587	impuissance	impuissance	la	la
588	ne	ne	mienne	mienne
589	reprochât	reprochât	appréhende	appréhende
590	à	à	la	la
591	mes	mes	contagion	contagion
592	mains	mains	.	.
593	l	l	Je	Je
594	’	’	sais	sais
595	indignité	indignité	que	que
596	de	de	votre	votre
597	cette	cette	mine	mine
598	victoire	victoire	seule	seule
599	,	,	ferait	ferait
600	voici	voici	trembler	trembler
601	ce	ce	le	le
602	que	que	plus	plus
603	j	j	ferme	ferme
604	’	’	manteau	manteau
605	ordonne	ordonne	d	d
606	de	de	’	’
607	votre	votre	aujourd	aujourd
608	sort	sort	’	’
609	.	.	hui	hui
610	Vous	Vous	;	;
611	autres	autres	mais	mais
612	Dieux	Dieux	,	,
613	qui	qui	en	en
614	savez	savez	cet	cet
615	si	si	âge	âge
616	bien	bien	de	de
617	courir	courir	fer	fer
618	comme	comme	on	on
619	Saturne	Saturne	juge	juge
620	,	,	de	de
621	père	père	nous	nous
622	du	du	pas	pas
623	temps	temps	par	par
624	,	,	ce	ce
625	qui	qui	que	que
626	mangeant	mangeant	nous	nous
627	et	et	avons	avons
628	dévorant	dévorant	et	et
629	tout	tout	non	non
630	court	court	par	par
631	à	à	ce	ce
632	l	l	que	que
633	’	’	nous	nous
634	hôpital	hôpital	sommes	sommes
635	;	;	.	.
636	Jupiter	Jupiter	La	La
637	qui	qui	pauvreté	pauvreté
638	,	,	fait	fait
639	comme	comme	le	le
640	ayant	ayant	vice	vice
641	la	la	;	;
642	tête	tête	et	et
643	fêlée	fêlée	si	si
644	depuis	depuis	vous	vous
645	le	le	me	me
646	coup	coup	demandez	demandez
647	de	de	«	«
648	hache	hache	cur	cur
649	qu	qu	tibi	tibi
650	’	’	despicior	despicior
651	il	il	»	»
652	reçut	reçut	?	?
653	de	de	Je	Je
654	Vulcain	Vulcain	vous	vous
655	,	,	réponds	réponds
656	doit	doit	:	:
657	courir	courir	«	«
658	les	les	Non	Non
659	rues	rues	omnibus	omnibus
660	;	;	itur	itur
661	Mars	Mars	ad	ad
662	qui	qui	aurum	aurum
663	comme	comme	»	»
664	soldat	soldat	.	.
665	court	court	D	D
666	aux	aux	’	’
667	armes	armes	un	un
668	;	;	certain	certain
669	Phébus	Phébus	riche	riche
670	qui	qui	laboureur	laboureur
671	comme	comme	la	la
672	Dieu	Dieu	charrue	charrue
673	des	des	m	m
674	Vers	Vers	’	’
675	court	court	éblouit	éblouit
676	la	la	,	,
677	bouche	bouche	et	et
678	des	des	je	je
679	poètes	poètes	suis	suis
680	;	;	tout	tout
681	Vénus	Vénus	à	à
682	qui	qui	fait	fait
683	comme	comme	résolu	résolu
684	putain	putain	à	à
685	court	court	lui	lui
686	l	l	donner	donner
687	’	’	ma	ma
688	aiguillette	aiguillette	fille	fille
689	;	;	.	.
690	Mercure	Mercure	C	C
691	qui	qui	’	’
692	comme	comme	est	est
693	Messager	Messager	pourquoi	pourquoi
694	court	court	je	je
695	la	la	vous	vous
696	poste	poste	conseille	conseille
697	;	;	de	de
698	et	et	ne	ne
699	Diane	Diane	plus	plus
700	qui	qui	approcher	approcher
701	comme	comme	d	d
702	Chasseresse	Chasseresse	’	’
703	court	court	elle	elle
704	les	les	.	.
705	Bois	Bois	Quoique	Quoique
706	.	.	j	j
707	Vous	Vous	’	’
708	prendrez	prendrez	aime	aime
709	la	la	les	les
710	peine	peine	règles	règles
711	,	,	de	de
712	s	s	la	la
713	’	’	grammaire	grammaire
714	il	il	,	,
715	vous	vous	je	je
716	plaît	plaît	ne	ne
717	,	,	prendrais	prendrais
718	de	de	pas	pas
719	monter	monter	plaisir	plaisir
720	tous	tous	de	de
721	sept	sept	vous	vous
722	à	à	voir	voir
723	califourchon	califourchon	accorder	accorder
724	sur	sur	ensemble	ensemble
725	une	une	le	le
726	Étoile	Étoile	masculin	masculin
727	.	.	et	et
728	Là	Là	le	le
729	vous	vous	féminin	féminin
730	courrez	courrez	;	;
731	de	de	que	que
732	si	si	je	je
733	bonne	bonne	craindrais	craindrais
734	sorte	sorte	qu	qu
735	,	,	’	’
736	que	que	un	un
737	vous	vous	malévole	malévole
738	n	n	n	n
739	’	’	’	’
740	aurez	aurez	inférât	inférât
741	pas	pas	:	:
742	le	le	«	«
743	loisir	loisir	Optant	Optant
744	d	d	sibi	sibi
745	’	’	jungere	jungere
746	ouvrir	ouvrir	casus	casus
747	les	les	»	»
748	yeux	yeux	.	.
749	.	.	Châteaufort	Châteaufort
750	»	»	Et	Et
751	Paquier	Paquier	moi	moi
752	En	En	chétif	chétif
753	effet	effet	excommunié	excommunié
754	,	,	,	,
755	les	les	j	j
756	Planètes	Planètes	’	’
757	sont	sont	aurais	aurais
758	justement	justement	déjà	déjà
759	ces	ces	fait	fait
760	sept	sept	sortir	sortir
761	-	-	ton	ton
762	là	là	âme	âme
763	.	.	par	par
764	Granger	Granger	cent	cent
765	Et	Et	plaies	plaies
766	des	des	,	,
767	autres	autres	sans	sans
768	Dieux	Dieux	la	la
769	qu	qu	dignité	dignité
770	’	’	de	de
771	en	en	mon	mon
772	fîtes	fîtes	âme	âme
773	-	-	qui	qui
774	vous	vous	me	me
775	?	?	défend	défend
776	Châteaufort	Châteaufort	d	d
777	Midi	Midi	’	’
778	sonna	sonna	ôter	ôter
779	,	,	la	la
780	la	la	vie	vie
781	faim	faim	à	à
782	me	me	quelque	quelque
783	prit	prit	chose	chose
784	,	,	de	de
785	j	j	moindre	moindre
786	’	’	qu	qu
787	en	en	’	’
788	fis	fis	un	un
789	un	un	géant	géant
790	saupiquet	saupiquet	.	.
791	pour	pour	Granger	Granger
792	mon	mon	Eh	Eh
793	dîner	dîner	!	!
794	.	.	bien	bien
795	Paquier	Paquier	donc	donc
796	«	«	,	,
797	Domine	Domine	protégez	protégez
798	»	»	moi	moi
799	,	,	plutôt	plutôt
800	ce	ce	contre	contre
801	fut	fut	je	je
802	assurément	assurément	ne	ne
803	en	en	sais	sais
804	ce	ce	quel	quel
805	temps	temps	gentillâtre	gentillâtre
806	-	-	,	,
807	là	là	qui	qui
808	que	que	a	a
809	les	les	bien	bien
810	Oracles	Oracles	l	l
811	cessèrent	cessèrent	’	’
812	.	.	insolence	insolence
813	Châteaufort	Châteaufort	de	de
814	Il	Il	marcher	marcher
815	est	est	sur	sur
816	vrai	vrai	vos	vos
817	;	;	brisées	brisées
818	et	et	,	,
819	dès	dès	et…	et…
820	lors	lors	Châteaufort	Châteaufort
821	ma	ma	La	La
822	complexion	complexion	Tremblaye	Tremblaye
823	prenant	prenant	!	!
824	part	part	…	…
825	à	à	Ne	Ne
826	ce	ce	vous	vous
827	salmigondis	salmigondis	expliquez	expliquez
828	de	de	pas	pas
829	Dieux	Dieux	j	j
830	,	,	’	’
831	mes	mes	aurais	aurais
832	actions	actions	peur	peur
833	ont	ont	que	que
834	été	été	mes	mes
835	toutes	toutes	yeux	yeux
836	extraordinaires	extraordinaires	en	en
837	.	.	courroux	courroux
838	Car	Car	ne	ne
839	si	si	jetassent	jetassent
840	j	j	des	des
841	’	’	étincelles	étincelles
842	engendre	engendre	dont	dont
843	,	,	quelqu	quelqu
844	c	c	’	’
845	’	’	une	une
846	est	est	par	par
847	en	en	mégarde	mégarde
848	Deucalion	Deucalion	vous	vous
849	;	;	pourrait	pourrait
850	si	si	consumer	consumer
851	je	je	.	.
852	regarde	regarde	La	La
853	,	,	rage	rage
854	c	c	me	me
855	’	’	transporte	transporte
856	est	est	;	;
857	en	en	je	je
858	Basilic	Basilic	m	m
859	;	;	’	’
860	si	si	en	en
861	je	je	vais	vais
862	pleure	pleure	faire	faire
863	,	,	pendre	pendre
864	c	c	l	l
865	’	’	’	’
866	est	est	eau	eau
867	en	en	,	,
868	Héraclite	Héraclite	le	le
869	;	;	feu	feu
870	si	si	,	,
871	je	je	la	la
872	ris	ris	terre	terre
873	,	,	et	et
874	c	c	l	l
875	’	’	’	’
876	est	est	air	air
877	en	en	,	,
878	Démocrite	Démocrite	et	et
879	;	;	songer	songer
880	si	si	au	au
881	j	j	genre	genre
882	’	’	de	de
883	écume	écume	mort	mort
884	,	,	dont	dont
885	c	c	nous	nous
886	’	’	exterminerons	exterminerons
887	est	est	ce	ce
888	en	en	pygmée	pygmée
889	Cerbère	Cerbère	qui	qui
890	;	;	veut	veut
891	si	si	faire	faire
892	je	je	le	le
893	dors	dors	colosse	colosse
894	,	,	.	.
895	c	c	(	(
896	’	’	Il	Il
897	est	est	sort	sort
898	en	en	.	.
899	Morphée	Morphée	)	)
900	;	;	Scène	Scène
901	si	si	2	2
902	je	je	Granger	Granger
903	veille	veille	,	,
904	,	,	Paquier	Paquier
905	c	c	.	.
906	’	’	Granger	Granger
907	est	est	Hé	Hé
908	en	en	!	!
909	Argus	Argus	bien	bien
910	;	;	«	«
911	si	si	Petre	Petre
912	je	je	»	»
913	marche	marche	,	,
914	,	,	ne	ne
915	c	c	voilà	voilà
916	’	’	pas	pas
917	est	est	une	une
918	en	en	digue	digue
919	Juif	Juif	que	que
920	-	-	je	je
921	errant	errant	viens	viens
922	;	;	d	d
923	si	si	’	’
924	je	je	opposer	opposer
925	cours	cours	aux	aux
926	,	,	terreurs	terreurs
927	c	c	que	que
928	’	’	me	me
929	est	est	donne	donne
930	en	en	tous	tous
931	Pacolet	Pacolet	les	les
932	;	;	jours	jours
933	si	si	Monsieur	Monsieur
934	je	je	de	de
935	vole	vole	La	La
936	,	,	Tremblaye	Tremblaye
937	c	c	?	?
938	’	’	Car	Car
939	est	est	La	La
940	en	en	Tremblaye	Tremblaye
941	Dédale	Dédale	à	à
942	;	;	cause	cause
943	si	si	de	de
944	je	je	Châteaufort	Châteaufort
945	m	m	,	,
946	’	’	Châteaufort	Châteaufort
947	arrête	arrête	à	à
948	,	,	cause	cause
949	c	c	de	de
950	’	’	La	La
951	est	est	Tremblaye	Tremblaye
952	en	en	,	,
953	Dieu	Dieu	désisteront	désisteront
954	Terme	Terme	de	de
955	;	;	la	la
956	si	si	poursuite	poursuite
957	j	j	de	de
958	’	’	ma	ma
959	ordonne	ordonne	fille	fille
960	,	,	.	.
961	c	c	Ce	Ce
962	’	’	sont	sont
963	est	est	deux	deux
964	en	en	poltrons	poltrons
965	Destin	Destin	si	si
966	.	.	éprouvés	éprouvés
967	Enfin	Enfin	que	que
968	vous	vous	,	,
969	voyez	voyez	s	s
970	celui	celui	’	’
971	qui	qui	ils	ils
972	fait	fait	se	se
973	que	que	battent	battent
974	l	l	jamais	jamais
975	’	’	,	,
976	Histoire	Histoire	ils	ils
977	du	du	se	se
978	Phénix	Phénix	demanderont	demanderont
979	n	n	tous	tous
980	’	’	deux	deux
981	est	est	la	la
982	pas	pas	vie	vie
983	un	un	.	.
984	conte	conte	Me	Me
985	.	.	voici	voici
986	Granger	Granger	cependant	cependant
987	Il	Il	embarqué	embarqué
988	est	est	sur	sur
989	vrai	vrai	une	une
990	qu	qu	mer	mer
991	’	’	où	où
992	à	à	la	la
993	l	l	moitié	moitié
994	’	’	du	du
995	âge	âge	monde	monde
996	où	où	a	a
997	vous	vous	fait	fait
998	êtes	êtes	naufrage	naufrage
999	,	,	.	.
1000	n	n	C	C
1001	’	’	’	’
1002	avoir	avoir	est	est
1003	point	point	l	l
1004	de	de	’	’
1005	barbe	barbe	amour	amour
1006	,	,	chez	chez
1007	vous	vous	moi	moi
1008	me	me	,	,
1009	portez	portez	l	l
1010	la	la	’	’
1011	mine	mine	amour	amour
1012	aussi	aussi	dehors	dehors
1013	bien	bien	,	,
